,srazky,rychlost_vetru,max_rychlost_vetru,vlhkost,teplota,tlak,hladina
2021-09-20,0.0,0.4,5.3,75,10.8,1017.864556,24.17981
2021-09-21,0.0,1.4,10.6,73,12.3,1023.357653,24.48619
2021-09-22,0.0,1.6,12.8,77,12.1,1021.805569,24.767225
2021-09-23,0.05,2.5,11.3,66,16.3,1013.669875,24.754440000000002
2021-09-24,0.0,3.2,12.8,75,15.9,1011.741243,24.269115
2021-09-25,0.0,0.5,5.9,78,16.0,1012.706437,24.35849
2021-09-26,0.2,0.0,3.3,83,16.2,1014.916097,24.6267
2021-09-27,0.0,0.4,4.4,89,17.2,1013.34425,24.71614
2021-09-28,0.0,0.9,9.5,87,14.4,1017.230562,24.767229999999998
2021-09-29,0.3,2.0,10.4,80,15.2,1015.627792,24.869455000000002
2021-09-30,0.0,0.9,8.8,74,9.1,1023.498542,24.984560000000002
